Time - Fc (N),Amplitude - Fc (N),"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Middle Plate,  VehicleTire (m)","Amplitude - Middle Plate,  VehicleTire (m)","Time - Top Plate, Vechile Body (m)","Amplitude - Top Plate, Vechile Body (m)"
0,0,0,0,0,0,0,0
0.002,0.00126279,0.002,0,0.002,0,0.002,0
0.004,0.0025379,0.004,0,0.004,0,0.004,0
0.006,0.00382533,0.006,0,0.006,0,0.006,0
0.008,0.00512507,0.008,0,0.008,0,0.008,0
0.01,0.00643712,0.01,2.20E-06,0.01,0,0.01,0
0.012,0.00776149,0.012,2.20E-06,0.012,0,0.012,0
0.014,0.00909818,0.014,4.39E-06,0.014,0,0.014,0
0.016,0.0104472,0.016,6.59E-06,0.016,0,0.016,0
0.018,0.0118085,0.018,6.59E-06,0.018,0,0.018,0
0.02,0.0131821,0.02,8.79E-06,0.02,0,0.02,0
0.022,0.0145681,0.022,1.98E-05,0.022,0,0.022,0
0.024,0.0159663,0.024,4.61E-05,0.024,0,0.024,0
0.026,0.0173769,0.026,5.27E-05,0.026,0,0.026,0
0.028,0.0187998,0.028,5.71E-05,0.028,0,0.028,0
0.03,0.020235,0.03,6.15E-05,0.03,0,0.03,0
0.032,0.0216825,0.032,8.35E-05,0.032,0,0.032,0
0.034,0.0231423,0.034,0.000125246,0.034,0,0.034,0
0.036,0.0246145,0.036,0.000149416,0.036,0,0.036,0
0.038,0.0260989,0.038,0.000173587,0.038,4.87E-06,0.038,4.87E-06
0.04,0.0275957,0.04,0.000197757,0.04,4.87E-06,0.04,4.87E-06
0.042,0.0291048,0.042,0.000221927,0.042,9.74E-06,0.042,9.74E-06
0.044,0.0306262,0.044,0.00027686,0.044,1.46E-05,0.044,1.46E-05
0.046,0.0321599,0.046,0.000331792,0.046,2.44E-05,0.046,2.44E-05
0.048,0.033706,0.048,0.000355963,0.048,2.92E-05,0.048,2.92E-05
0.05,0.0352643,0.05,0.000375738,0.05,3.41E-05,0.05,3.41E-05
0.052,0.036835,0.052,0.000388922,0.052,3.90E-05,0.052,3.90E-05
0.054,0.0384179,0.054,0.000404303,0.054,4.87E-05,0.054,4.87E-05
0.056,0.0400132,0.056,0.000441657,0.056,6.33E-05,0.056,6.33E-05
0.058,0.0416208,0.058,0.000485603,0.058,8.28E-05,0.058,8.28E-05
0.06,0.0432407,0.06,0.000509774,0.06,9.74E-05,0.06,9.74E-05
0.062,0.044873,0.062,0.000531747,0.062,0.000112019,0.062,0.000112019
0.064,0.0465175,0.064,0.000551522,0.064,0.00012176,0.064,0.00012176
0.066,0.0481744,0.066,0.000571298,0.066,0.000131501,0.066,0.000131501
