Time - Fc (N),Amplitude - Fc (N),"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Middle Plate,  VehicleTire (m)","Amplitude - Middle Plate,  VehicleTire (m)","Time - Top Plate, Vechile Body (m)","Amplitude - Top Plate, Vechile Body (m)"
0,0,0,0,0,0,0,0
0.002,0.00377397,0.002,0,0.002,0,0.002,0
0.004,0.007556,0.004,0,0.004,0,0.004,0
0.006,0.0113461,0.006,0,0.006,0,0.006,0
0.008,0.0151441,0.008,0,0.008,0,0.008,0
0.01,0.01895,0.01,2.20E-06,0.01,0,0.01,0
0.012,0.0227638,0.012,2.20E-06,0.012,0,0.012,0
0.014,0.0265853,0.014,4.39E-06,0.014,0,0.014,0
0.016,0.0304146,0.016,6.59E-06,0.016,0,0.016,0
0.018,0.0342516,0.018,8.79E-06,0.018,0,0.018,0
0.02,0.0380962,0.02,1.32E-05,0.02,0,0.02,0
0.022,0.0419483,0.022,3.08E-05,0.022,0,0.022,0
0.024,0.045808,0.024,5.49E-05,0.024,0,0.024,0
0.026,0.0496751,0.026,6.15E-05,0.026,0,0.026,0
0.028,0.0535495,0.028,6.81E-05,0.028,0,0.028,0
0.03,0.0574313,0.03,7.69E-05,0.03,0,0.03,0
0.032,0.0613202,0.032,0.000109865,0.032,0,0.032,0
0.034,0.0652164,0.034,0.000160403,0.034,0,0.034,0
0.036,0.0691197,0.036,0.000188968,0.036,4.87E-06,0.036,4.87E-06
0.038,0.07303,0.038,0.000215335,0.038,9.74E-06,0.038,9.74E-06
0.04,0.0769473,0.04,0.000241703,0.04,9.74E-06,0.04,9.74E-06
0.042,0.0808716,0.042,0.000268071,0.042,9.74E-06,0.042,9.74E-06
0.044,0.0848026,0.044,0.000320806,0.044,1.95E-05,0.044,1.95E-05
0.046,0.0887405,0.046,0.000375738,0.046,3.41E-05,0.046,3.41E-05
0.048,0.092685,0.048,0.000402106,0.048,3.90E-05,0.048,3.90E-05
0.05,0.0966362,0.05,0.000426276,0.05,4.87E-05,0.05,4.87E-05
0.052,0.100594,0.052,0.000446052,0.052,5.36E-05,0.052,5.36E-05
0.054,0.104558,0.054,0.000465828,0.054,5.84E-05,0.054,5.84E-05
0.056,0.108529,0.056,0.000516366,0.056,7.79E-05,0.056,7.79E-05
0.058,0.112506,0.058,0.000580087,0.058,0.000102278,0.058,0.000102278
0.06,0.116489,0.06,0.000613047,0.06,0.000112019,0.06,0.000112019
0.062,0.120479,0.062,0.000643809,0.062,0.00012663,0.062,0.00012663
0.064,0.124474,0.064,0.000670177,0.064,0.000136371,0.064,0.000136371
0.066,0.128476,0.066,0.000696544,0.066,0.000146112,0.066,0.000146112
0.068,0.132483,0.068,0.000753674,0.068,0.000175334,0.068,0.000175334
0.07,0.136497,0.07,0.000817396,0.07,0.000214298,0.07,0.000214298
0.072,0.140516,0.072,0.000845961,0.072,0.000233779,0.072,0.000233779
0.074,0.144541,0.074,0.000870131,0.074,0.00024839,0.074,0.00024839
0.076,0.148572,0.076,0.000892104,0.076,0.000267872,0.076,0.000267872
0.078,0.152608,0.078,0.000914077,0.078,0.000282483,0.078,0.000282483
0.08,0.15665,0.08,0.000966812,0.08,0.000326317,0.08,0.000326317
0.082,0.160697,0.082,0.00103053,0.082,0.00037015,0.082,0.00037015
0.084,0.164749,0.084,0.00106349,0.084,0.000394502,0.084,0.000394502
0.086,0.168807,0.086,0.00109206,0.086,0.000418854,0.086,0.000418854
0.088,0.17287,0.088,0.00111843,0.088,0.000443206,0.088,0.000443206
0.09,0.176937,0.09,0.0011426,0.09,0.000462688,0.09,0.000462688
0.092,0.18101,0.092,0.00119973,0.092,0.000516262,0.092,0.000516262
0.094,0.185088,0.094,0.00126564,0.094,0.000574707,0.094,0.000574707
0.096,0.18917,0.096,0.0012986,0.096,0.00060393,0.096,0.00060393
0.098,0.193258,0.098,0.00132717,0.098,0.000633152,0.098,0.000633152
0.1,0.197349,0.1,0.00135354,0.1,0.000662374,0.1,0.000662374
0.102,0.201446,0.102,0.0013799,0.102,0.000691597,0.102,0.000691597
0.104,0.205546,0.104,0.00143923,0.104,0.000759782,0.104,0.000759782
0.106,0.209652,0.106,0.00151174,0.106,0.000827968,0.106,0.000827968
0.108,0.213761,0.108,0.0015469,0.108,0.000871802,0.108,0.000871802
0.11,0.217874,0.11,0.00157986,0.11,0.000910765,0.11,0.000910765
0.112,0.221992,0.112,0.00160623,0.112,0.000949728,0.112,0.000949728
0.114,0.226114,0.114,0.00163479,0.114,0.000983821,0.114,0.000983821
0.116,0.230239,0.116,0.00169192,0.116,0.00106175,0.116,0.00106175
0.118,0.234368,0.118,0.00175784,0.118,0.00114941,0.118,0.00114941
0.12,0.238501,0.12,0.0017908,0.12,0.00119325,0.12,0.00119325
0.122,0.242637,0.122,0.00181717,0.122,0.00123221,0.122,0.00123221
0.124,0.246777,0.124,0.00184353,0.124,0.00127117,0.124,0.00127117
0.126,0.25092,0.126,0.0018699,0.126,0.00131501,0.126,0.00131501
0.128,0.255067,0.128,0.00192703,0.128,0.0013978,0.128,0.0013978
0.13,0.259217,0.13,0.00199515,0.13,0.00148547,0.13,0.00148547
0.132,0.263369,0.132,0.00203031,0.132,0.00152444,0.132,0.00152444
0.134,0.267525,0.134,0.00206107,0.134,0.00156827,0.134,0.00156827
0.136,0.271683,0.136,0.00208744,0.136,0.00160723,0.136,0.00160723
0.138,0.275845,0.138,0.002116,0.138,0.0016462,0.138,0.0016462
0.14,0.280009,0.14,0.00217752,0.14,0.00173873,0.14,0.00173873
0.142,0.284175,0.142,0.00224784,0.142,0.0018264,0.142,0.0018264
0.144,0.288344,0.144,0.00228299,0.144,0.00186536,0.144,0.00186536
0.146,0.292515,0.146,0.00231376,0.146,0.00190433,0.146,0.00190433
0.148,0.296688,0.148,0.00234232,0.148,0.00194329,0.148,0.00194329
0.15,0.300864,0.15,0.00237089,0.15,0.00198712,0.15,0.00198712
0.152,0.305041,0.152,0.00243021,0.152,0.00207479,0.152,0.00207479
0.154,0.309221,0.154,0.00250053,0.154,0.00216246,0.154,0.00216246
0.156,0.313402,0.156,0.00253349,0.156,0.00220142,0.156,0.00220142
0.158,0.317584,0.158,0.00256205,0.158,0.00224525,0.158,0.00224525
0.16,0.321769,0.16,0.00258842,0.16,0.00228422,0.16,0.00228422
0.162,0.325954,0.162,0.00261479,0.162,0.00232318,0.162,0.00232318
0.164,0.330141,0.164,0.00267411,0.164,0.00241085,0.164,0.00241085
0.166,0.334329,0.166,0.00274662,0.166,0.00249852,0.166,0.00249852
0.168,0.338518,0.168,0.00278178,0.168,0.00253748,0.168,0.00253748
0.17,0.342709,0.17,0.00281474,0.17,0.00257644,0.17,0.00257644
0.172,0.346899,0.172,0.00284111,0.172,0.00261053,0.172,0.00261053
0.174,0.351091,0.174,0.00287187,0.174,0.00264463,0.174,0.00264463
0.176,0.355283,0.176,0.002929,0.176,0.00272255,0.176,0.00272255
0.178,0.359476,0.178,0.00299931,0.178,0.00279561,0.178,0.00279561
0.18,0.363669,0.18,0.00303447,0.18,0.00283457,0.18,0.00283457
0.182,0.367862,0.182,0.00306523,0.182,0.00286867,0.182,0.00286867
0.184,0.372055,0.184,0.0030938,0.184,0.00290276,0.184,0.00290276
0.186,0.376248,0.186,0.00312236,0.186,0.00293685,0.186,0.00293685
0.188,0.380441,0.188,0.00318389,0.188,0.00300017,0.188,0.00300017
0.19,0.384634,0.19,0.0032542,0.19,0.00306835,0.19,0.00306835
0.192,0.388826,0.192,0.00329156,0.192,0.00310244,0.192,0.00310244
0.194,0.393018,0.194,0.00332012,0.194,0.00313167,0.194,0.00313167
0.196,0.397209,0.196,0.00334649,0.196,0.00315602,0.196,0.00315602
0.198,0.401399,0.198,0.00337286,0.198,0.00318037,0.198,0.00318037
0.2,0.405588,0.2,0.00343218,0.2,0.00323882,0.2,0.00323882
0.202,0.409776,0.202,0.0034981,0.202,0.00329726,0.202,0.00329726
0.204,0.413963,0.204,0.00353106,0.204,0.00332161,0.204,0.00332161
0.206,0.418149,0.206,0.00355963,0.206,0.00335084,0.206,0.00335084
0.208,0.422333,0.208,0.00358819,0.208,0.00337519,0.208,0.00337519
0.21,0.426515,0.21,0.00361456,0.21,0.00339467,0.21,0.00339467
0.212,0.430696,0.212,0.00367169,0.212,0.0034385,0.212,0.0034385
0.214,0.434875,0.214,0.003742,0.214,0.00348721,0.214,0.00348721
0.216,0.439052,0.216,0.00377496,0.216,0.00351156,0.216,0.00351156
0.218,0.443226,0.218,0.00380572,0.218,0.00353104,0.218,0.00353104
0.22,0.447398,0.22,0.00383209,0.22,0.00354565,0.22,0.00354565
0.222,0.451568,0.222,0.00386066,0.222,0.00356026,0.222,0.00356026
0.224,0.455735,0.224,0.00392218,0.224,0.00359436,0.224,0.00359436
0.226,0.4599,0.226,0.00399689,0.226,0.00363332,0.226,0.00363332
0.228,0.464061,0.228,0.00403205,0.228,0.0036528,0.228,0.0036528
0.23,0.468219,0.23,0.00406501,0.23,0.00366741,0.23,0.00366741
0.232,0.472375,0.232,0.00409137,0.232,0.00368202,0.232,0.00368202
0.234,0.476527,0.234,0.00411774,0.234,0.00369663,0.234,0.00369663
0.236,0.480675,0.236,0.00417048,0.236,0.00372586,0.236,0.00372586
0.238,0.48482,0.238,0.004232,0.238,0.00375508,0.238,0.00375508
0.24,0.488961,0.24,0.00426056,0.24,0.00377456,0.24,0.00377456
0.242,0.493098,0.242,0.00428913,0.242,0.00378917,0.242,0.00378917
0.244,0.497231,0.244,0.0043133,0.244,0.00380378,0.244,0.00380378
0.246,0.50136,0.246,0.00433967,0.246,0.00381352,0.246,0.00381352
0.248,0.505485,0.248,0.0043968,0.248,0.00384275,0.248,0.00384275
0.25,0.509605,0.25,0.00446491,0.25,0.00387684,0.25,0.00387684
0.252,0.51372,0.252,0.00449787,0.252,0.00389632,0.252,0.00389632
0.254,0.51783,0.254,0.00452644,0.254,0.00391093,0.254,0.00391093
0.256,0.521936,0.256,0.00455281,0.256,0.00392554,0.256,0.00392554
0.258,0.526036,0.258,0.00458137,0.258,0.00393528,0.258,0.00393528
0.26,0.530131,0.26,0.0046407,0.26,0.00396451,0.26,0.00396451
0.262,0.534221,0.262,0.00470881,0.262,0.00399373,0.262,0.00399373
0.264,0.538305,0.264,0.00474177,0.264,0.00401321,0.264,0.00401321
0.266,0.542383,0.266,0.00477254,0.266,0.00402782,0.266,0.00402782
0.268,0.546455,0.268,0.0047989,0.268,0.00404243,0.268,0.00404243
0.27,0.550521,0.27,0.00482747,0.27,0.00405704,0.27,0.00405704
0.272,0.554581,0.272,0.0048846,0.272,0.00409114,0.272,0.00409114
0.274,0.558635,0.274,0.00495052,0.274,0.00413497,0.274,0.00413497
0.276,0.562681,0.276,0.00498128,0.276,0.00415445,0.276,0.00415445
0.278,0.566722,0.278,0.00500765,0.278,0.00417393,0.278,0.00417393
0.28,0.570755,0.28,0.00503182,0.28,0.00419341,0.28,0.00418399
0.282,0.574781,0.282,0.00505599,0.282,0.00420803,0.282,0.00418918
0.284,0.5788,0.284,0.00510872,0.284,0.00425673,0.284,0.00421903
0.286,0.582811,0.286,0.00517464,0.286,0.0043103,0.286,0.00425376
0.288,0.586815,0.288,0.0052098,0.288,0.00433953,0.288,0.00427355
0.29,0.590812,0.29,0.00523836,0.29,0.00436388,0.29,0.00427906
0.292,0.5948,0.292,0.00526473,0.292,0.00438823,0.292,0.00429398
0.294,0.59878,0.294,0.0052889,0.294,0.00440771,0.294,0.00430404
0.296,0.602752,0.296,0.00534383,0.296,0.00446129,0.296,0.00432934
0.298,0.606716,0.298,0.00540975,0.298,0.0045246,0.298,0.0043738
0.3,0.61067,0.3,0.00544271,0.3,0.00455382,0.3,0.0043936
0.302,0.614617,0.302,0.00546908,0.302,0.00458305,0.302,0.0044134
0.304,0.618554,0.304,0.00549545,0.304,0.0046074,0.304,0.00443775
0.306,0.622482,0.306,0.00552401,0.306,0.00463175,0.306,0.00445268
0.308,0.626401,0.308,0.00558114,0.308,0.00469507,0.308,0.00450657
0.31,0.63031,0.31,0.00565146,0.31,0.00475838,0.31,0.00456046
0.312,0.63421,0.312,0.00568442,0.312,0.0047876,0.312,0.00458968
0.314,0.6381,0.314,0.00571298,0.314,0.00481196,0.314,0.00461403
0.316,0.64198,0.316,0.00573715,0.316,0.00484118,0.316,0.00463383
0.318,0.64585,0.318,0.00576132,0.318,0.0048704,0.318,0.00466305
0.32,0.649709,0.32,0.00581186,0.32,0.00492884,0.32,0.0047215
0.322,0.653558,0.322,0.00587119,0.322,0.00499216,0.322,0.00478481
0.324,0.657396,0.324,0.00590195,0.324,0.00502138,0.324,0.00481404
0.326,0.661224,0.326,0.00592832,0.326,0.0050506,0.326,0.00484326
0.328,0.66504,0.328,0.00595249,0.328,0.00507983,0.328,0.00487248
0.33,0.668845,0.33,0.00597666,0.33,0.00510905,0.33,0.0049017
0.332,0.672639,0.332,0.00603379,0.332,0.00517724,0.332,0.00496989
0.334,0.676421,0.334,0.0060997,0.334,0.00524542,0.334,0.00503808
0.336,0.680191,0.336,0.00613266,0.336,0.00527951,0.336,0.00507217
0.338,0.683949,0.338,0.00616123,0.338,0.00531848,0.338,0.00511113
0.34,0.687695,0.34,0.0061876,0.34,0.00535257,0.34,0.00514522
0.342,0.691429,0.342,0.00621396,0.342,0.00538666,0.342,0.00517932
0.344,0.69515,0.344,0.0062689,0.344,0.00545972,0.344,0.00525237
0.346,0.698858,0.346,0.00633482,0.346,0.00553277,0.346,0.00532543
0.348,0.702554,0.348,0.00636778,0.348,0.00556687,0.348,0.00535952
0.35,0.706236,0.35,0.00639634,0.35,0.00560583,0.35,0.00539848
0.352,0.709905,0.352,0.00642271,0.352,0.00563992,0.352,0.00543258
0.354,0.713561,0.354,0.00644908,0.354,0.00567402,0.354,0.00546667
0.356,0.717203,0.356,0.00650401,0.356,0.0057422,0.356,0.00553486
0.358,0.720831,0.358,0.00656773,0.358,0.00581526,0.358,0.00560791
0.36,0.724445,0.36,0.00659849,0.36,0.00584935,0.36,0.005642
0.362,0.728045,0.362,0.00662266,0.362,0.00588344,0.362,0.0056761
0.364,0.731631,0.364,0.00664244,0.364,0.00591754,0.364,0.00571019
0.366,0.735201,0.366,0.00666441,0.366,0.00595163,0.366,0.00574428
0.368,0.738757,0.368,0.00671495,0.368,0.00601981,0.368,0.00581247
0.37,0.742298,0.37,0.00677647,0.37,0.00609287,0.37,0.00588552
0.372,0.745824,0.372,0.00680943,0.372,0.00612696,0.372,0.00591962
0.374,0.749335,0.374,0.0068336,0.374,0.00616106,0.374,0.00595371
0.376,0.75283,0.376,0.00685558,0.376,0.00619028,0.376,0.00598293
0.378,0.756309,0.378,0.00687975,0.378,0.00622437,0.378,0.00601703
0.38,0.759772,0.38,0.00693688,0.38,0.00628769,0.38,0.00608034
0.382,0.763219,0.382,0.00699401,0.382,0.00635587,0.382,0.00614853
0.384,0.766649,0.384,0.00702477,0.384,0.00638022,0.384,0.00617288
0.386,0.770063,0.386,0.00705114,0.386,0.00641432,0.386,0.00620697
0.388,0.77346,0.388,0.00707311,0.388,0.00643867,0.388,0.00623132
0.39,0.776841,0.39,0.00709728,0.39,0.00647276,0.39,0.00626542
0.392,0.780204,0.392,0.00715441,0.392,0.00653121,0.392,0.00632386
0.394,0.78355,0.394,0.00721813,0.394,0.00658965,0.394,0.00638231
0.396,0.786878,0.396,0.0072467,0.396,0.00661887,0.396,0.00641153
0.398,0.790188,0.398,0.00727306,0.398,0.0066481,0.398,0.00644075
0.4,0.793481,0.4,0.00729504,0.4,0.00667245,0.4,0.0064651
0.402,0.796755,0.402,0.00731701,0.402,0.0066968,0.402,0.00648945
0.404,0.800011,0.404,0.00736755,0.404,0.00675037,0.404,0.00654303
0.406,0.803249,0.406,0.00742028,0.406,0.00680882,0.406,0.00660147
0.408,0.806467,0.408,0.00744445,0.408,0.00683317,0.408,0.00662583
0.41,0.809667,0.41,0.00746643,0.41,0.00685752,0.41,0.00665018
0.412,0.812848,0.412,0.007484,0.412,0.006877,0.412,0.00666966
0.414,0.816009,0.414,0.00750378,0.414,0.00689649,0.414,0.00668914
0.416,0.819151,0.416,0.00755212,0.416,0.00693545,0.416,0.0067281
0.418,0.822273,0.418,0.00760486,0.418,0.00698415,0.418,0.00677681
0.42,0.825375,0.42,0.00763122,0.42,0.00700851,0.42,0.00680116
0.422,0.828456,0.422,0.00765539,0.422,0.00702799,0.422,0.00682064
0.424,0.831518,0.424,0.00767517,0.424,0.0070426,0.424,0.00683525
0.426,0.834559,0.426,0.00769494,0.426,0.00706208,0.426,0.00685473
0.428,0.837579,0.428,0.00774109,0.428,0.00709617,0.428,0.00688883
