Time - Fc (N),Amplitude - Fc (N),"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Middle Plate,  VehicleTire (m)","Amplitude - Middle Plate,  VehicleTire (m)","Time - Top Plate, Vechile Body (m)","Amplitude - Top Plate, Vechile Body (m)"
0,0,0,0,0,0,0,0
0.002,0,0.002,0,0.002,0,0.002,0
0.004,0,0.004,0,0.004,0,0.004,0
0.006,0,0.006,0,0.006,0,0.006,0
0.008,0,0.008,0,0.008,0,0.008,0
0.01,0,0.01,0,0.01,0,0.01,0
0.012,0,0.012,0,0.012,0,0.012,0
0.014,0,0.014,0,0.014,0,0.014,0
0.016,0,0.016,0,0.016,0,0.016,0
0.018,0,0.018,0,0.018,0,0.018,0
0.02,0,0.02,0,0.02,0,0.02,0
0.022,0,0.022,2.20E-06,0.022,0,0.022,0
0.024,0,0.024,2.20E-06,0.024,0,0.024,0
0.026,0,0.026,2.20E-06,0.026,0,0.026,0
0.028,0,0.028,2.20E-06,0.028,0,0.028,0
0.03,0,0.03,4.39E-06,0.03,0,0.03,0
0.032,0,0.032,4.39E-06,0.032,0,0.032,0
0.034,0,0.034,4.39E-06,0.034,0,0.034,0
0.036,0,0.036,6.59E-06,0.036,0,0.036,0
0.038,0,0.038,6.59E-06,0.038,0,0.038,0
0.04,0,0.04,6.59E-06,0.04,0,0.04,0
0.042,0,0.042,8.79E-06,0.042,0,0.042,0
0.044,0,0.044,1.10E-05,0.044,0,0.044,0
0.046,0,0.046,1.10E-05,0.046,4.87E-06,0.046,4.87E-06
0.048,0,0.048,1.10E-05,0.048,4.87E-06,0.048,4.87E-06
0.05,0,0.05,1.32E-05,0.05,4.87E-06,0.05,4.87E-06
0.052,0,0.052,1.32E-05,0.052,4.87E-06,0.052,4.87E-06
0.054,0,0.054,1.54E-05,0.054,4.87E-06,0.054,4.87E-06
0.056,0,0.056,1.98E-05,0.056,4.87E-06,0.056,4.87E-06
0.058,0,0.058,2.20E-05,0.058,4.87E-06,0.058,4.87E-06
0.06,0,0.06,2.42E-05,0.06,4.87E-06,0.06,4.87E-06
0.062,0,0.062,2.42E-05,0.062,4.87E-06,0.062,4.87E-06
0.064,0,0.064,2.42E-05,0.064,4.87E-06,0.064,4.87E-06
0.066,0,0.066,2.64E-05,0.066,4.87E-06,0.066,4.87E-06
0.068,0,0.068,3.30E-05,0.068,4.87E-06,0.068,4.87E-06
0.07,0,0.07,3.96E-05,0.07,4.87E-06,0.07,4.87E-06
0.072,0,0.072,4.17E-05,0.072,4.87E-06,0.072,4.87E-06
0.074,0,0.074,4.39E-05,0.074,4.87E-06,0.074,4.87E-06
0.076,0,0.076,4.61E-05,0.076,4.87E-06,0.076,4.87E-06
0.078,0,0.078,5.05E-05,0.078,4.87E-06,0.078,4.87E-06
0.08,0,0.08,5.71E-05,0.08,4.87E-06,0.08,4.87E-06
0.082,0,0.082,6.81E-05,0.082,4.87E-06,0.082,4.87E-06
0.084,0,0.084,7.25E-05,0.084,4.87E-06,0.084,4.87E-06
0.086,0,0.086,7.91E-05,0.086,4.87E-06,0.086,4.87E-06
0.088,0,0.088,8.79E-05,0.088,4.87E-06,0.088,4.87E-06
0.09,0,0.09,9.45E-05,0.09,4.87E-06,0.09,4.87E-06
0.092,0,0.092,0.00011426,0.092,4.87E-06,0.092,4.87E-06
0.094,0,0.094,0.00013843,0.094,4.87E-06,0.094,4.87E-06
0.096,0,0.096,0.000149416,0.096,4.87E-06,0.096,4.87E-06
0.098,0,0.098,0.000158206,0.098,4.87E-06,0.098,4.87E-06
0.1,0,0.1,0.000166995,0.1,4.87E-06,0.1,4.87E-06
0.102,0,0.102,0.000175784,0.102,9.74E-06,0.102,9.74E-06
0.104,0,0.104,0.000193362,0.104,9.74E-06,0.104,9.74E-06
0.106,0,0.106,0.000213138,0.106,1.95E-05,0.106,1.95E-05
0.108,0,0.108,0.000224125,0.108,1.95E-05,0.108,1.95E-05
0.11,0,0.11,0.000232914,0.11,2.44E-05,0.11,2.44E-05
0.112,0,0.112,0.000241703,0.112,2.92E-05,0.112,2.92E-05
0.114,0,0.114,0.000250492,0.114,2.92E-05,0.114,2.92E-05
0.116,0,0.116,0.000268071,0.116,3.90E-05,0.116,3.90E-05
0.118,0,0.118,0.000290044,0.118,4.87E-05,0.118,4.87E-05
0.12,0,0.12,0.00030103,0.12,5.36E-05,0.12,5.36E-05
0.122,0,0.122,0.000309819,0.122,5.36E-05,0.122,5.36E-05
0.124,0,0.124,0.000318609,0.124,5.84E-05,0.124,5.84E-05
0.126,0,0.126,0.0003252,0.126,6.33E-05,0.126,6.33E-05
0.128,0,0.128,0.000342779,0.128,6.82E-05,0.128,6.82E-05
0.13,0,0.13,0.000362555,0.13,7.79E-05,0.13,7.79E-05
0.132,0,0.132,0.000373541,0.132,8.28E-05,0.132,8.28E-05
0.134,0,0.134,0.00038233,0.134,8.77E-05,0.134,8.77E-05
0.136,0,0.136,0.000388922,0.136,9.25E-05,0.136,9.25E-05
0.138,0,0.138,0.000397711,0.138,9.74E-05,0.138,9.74E-05
0.14,0,0.14,0.00041529,0.14,0.000112019,0.14,0.000112019
