Time - Fc (N),Amplitude - Fc (N),"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Middle Plate,  VehicleTire (m)","Amplitude - Middle Plate,  VehicleTire (m)","Time - Top Plate, Vechile Body (m)","Amplitude - Top Plate, Vechile Body (m)"
0,0,0,0,0,0,0,0
0.002,0.012591,0.002,0,0.002,0,0.002,0
0.004,0.0252312,0.004,0,0.004,0,0.004,0
0.006,0.0379207,0.006,0,0.006,0,0.006,0
0.008,0.0506593,0.008,0,0.008,0,0.008,0
0.01,0.0634472,0.01,0,0.01,0,0.01,0
0.012,0.0762842,0.012,0,0.012,0,0.012,0
0.014,0.0891703,0.014,0,0.014,0,0.014,0
0.016,0.102106,0.016,0,0.016,0,0.016,0
0.018,0.11509,0.018,0,0.018,0,0.018,0
0.02,0.128123,0.02,0,0.02,0,0.02,0
0.022,0.141206,0.022,2.20E-06,0.022,0,0.022,0
0.024,0.154337,0.024,2.20E-06,0.024,0,0.024,0
0.026,0.167517,0.026,2.20E-06,0.026,0,0.026,0
0.028,0.180747,0.028,2.20E-06,0.028,0,0.028,0
0.03,0.194025,0.03,4.39E-06,0.03,0,0.03,0
0.032,0.207352,0.032,4.39E-06,0.032,0,0.032,0
0.034,0.220728,0.034,4.39E-06,0.034,0,0.034,0
0.036,0.234153,0.036,4.39E-06,0.036,4.87E-06,0.036,4.87E-06
0.038,0.247627,0.038,6.59E-06,0.038,4.87E-06,0.038,4.87E-06
0.04,0.26115,0.04,6.59E-06,0.04,4.87E-06,0.04,4.87E-06
0.042,0.274721,0.042,8.79E-06,0.042,4.87E-06,0.042,4.87E-06
0.044,0.288341,0.044,1.98E-05,0.044,4.87E-06,0.044,4.87E-06
0.046,0.30201,0.046,2.64E-05,0.046,4.87E-06,0.046,4.87E-06
0.048,0.315727,0.048,3.08E-05,0.048,4.87E-06,0.048,4.87E-06
0.05,0.329493,0.05,3.08E-05,0.05,4.87E-06,0.05,4.87E-06
0.052,0.343308,0.052,3.08E-05,0.052,4.87E-06,0.052,4.87E-06
0.054,0.357171,0.054,3.08E-05,0.054,4.87E-06,0.054,4.87E-06
0.056,0.371083,0.056,3.74E-05,0.056,4.87E-06,0.056,4.87E-06
0.058,0.385043,0.058,4.61E-05,0.058,4.87E-06,0.058,4.87E-06
0.06,0.399052,0.06,4.83E-05,0.06,4.87E-06,0.06,4.87E-06
0.062,0.413109,0.062,5.05E-05,0.062,4.87E-06,0.062,4.87E-06
0.064,0.427215,0.064,5.05E-05,0.064,4.87E-06,0.064,4.87E-06
0.066,0.441369,0.066,5.05E-05,0.066,4.87E-06,0.066,4.87E-06
0.068,0.455571,0.068,5.49E-05,0.068,4.87E-06,0.068,4.87E-06
0.07,0.469822,0.07,6.59E-05,0.07,4.87E-06,0.07,4.87E-06
0.072,0.484121,0.072,7.03E-05,0.072,4.87E-06,0.072,4.87E-06
0.074,0.498468,0.074,7.69E-05,0.074,4.87E-06,0.074,4.87E-06
0.076,0.512863,0.076,8.35E-05,0.076,4.87E-06,0.076,4.87E-06
0.078,0.527306,0.078,9.23E-05,0.078,4.87E-06,0.078,4.87E-06
0.08,0.541798,0.08,0.000112062,0.08,4.87E-06,0.08,4.87E-06
0.082,0.556337,0.082,0.000136233,0.082,9.74E-06,0.082,9.74E-06
0.084,0.570924,0.084,0.000149416,0.084,9.74E-06,0.084,9.74E-06
0.086,0.58556,0.086,0.000160403,0.086,9.74E-06,0.086,3.16E-07
0.088,0.600243,0.088,0.000171389,0.088,9.74E-06,0.088,-9.11E-06
0.09,0.614974,0.09,0.000180179,0.09,1.46E-05,0.09,-1.37E-05
0.092,0.629753,0.092,0.000202152,0.092,1.95E-05,0.092,-2.76E-05
0.094,0.64458,0.094,0.000224125,0.094,2.92E-05,0.094,-4.62E-05
0.096,0.659455,0.096,0.000235111,0.096,3.90E-05,0.096,-4.59E-05
0.098,0.674377,0.098,0.000241703,0.098,4.38E-05,0.098,-5.04E-05
0.1,0.689347,0.1,0.000250492,0.1,4.87E-05,0.1,-6.44E-05
0.102,0.704364,0.102,0.000257084,0.102,5.36E-05,0.102,-6.89E-05
0.104,0.719429,0.104,0.00027686,0.104,6.82E-05,0.104,-8.26E-05
0.106,0.734541,0.106,0.000296636,0.106,8.28E-05,0.106,-9.63E-05
0.108,0.749701,0.108,0.000307622,0.108,9.25E-05,0.108,-0.000105383
0.11,0.764909,0.11,0.000318609,0.11,0.000102278,0.11,-0.000114492
0.112,0.780163,0.112,0.000327398,0.112,0.000112019,0.112,-0.000123601
0.114,0.795465,0.114,0.000336187,0.114,0.00012176,0.114,-0.000123285
0.116,0.810814,0.116,0.000353765,0.116,0.000136371,0.116,-0.000146373
0.118,0.82621,0.118,0.000375738,0.118,0.000155853,0.118,-0.000155166
0.12,0.841654,0.12,0.000384528,0.12,0.000165594,0.12,-0.00015485
0.122,0.857144,0.122,0.000393317,0.122,0.000175334,0.122,-0.000154534
0.124,0.872682,0.124,0.000402106,0.124,0.000185075,0.124,-0.000154218
0.126,0.888266,0.126,0.000408698,0.126,0.000189946,0.126,-0.000158772
0.128,0.903897,0.128,0.000428474,0.128,0.000209427,0.128,-0.000148715
0.13,0.919575,0.13,0.000452644,0.13,0.000224038,0.13,-0.000134104
0.132,0.9353,0.132,0.00046363,0.132,0.000233779,0.132,-0.000133788
0.134,0.951072,0.134,0.000474617,0.134,0.00024352,0.134,-0.000124047
0.136,0.96689,0.136,0.000483406,0.136,0.00024839,0.136,-0.000119177
0.138,0.982755,0.138,0.000492195,0.138,0.000253261,0.138,-0.000114306
0.14,0.998666,0.14,0.000509774,0.14,0.000267872,0.14,-9.97E-05
0.142,1.01462,0.142,0.000531747,0.142,0.000282483,0.142,-8.51E-05
0.144,1.03063,0.144,0.000542733,0.144,0.000287354,0.144,-8.02E-05
0.146,1.04668,0.146,0.000551522,0.146,0.000297094,0.146,-7.05E-05
0.148,1.06277,0.148,0.000560312,0.148,0.000306835,0.148,-6.07E-05
0.15,1.07892,0.15,0.000569101,0.15,0.000311706,0.15,-5.59E-05
0.152,1.09511,0.152,0.000588876,0.152,0.000326317,0.152,-4.13E-05
0.154,1.11134,0.154,0.000608652,0.154,0.000345798,0.154,-2.18E-05
0.156,1.12762,0.156,0.000619639,0.156,0.000355539,0.156,-1.20E-05
0.158,1.14395,0.158,0.000628428,0.158,0.00036528,0.158,-2.29E-06
0.16,1.16032,0.16,0.00063502,0.16,0.000375021,0.16,7.45E-06
0.162,1.17674,0.162,0.000641612,0.162,0.000384762,0.162,7.77E-06
0.164,1.19321,0.164,0.00065919,0.164,0.000404243,0.164,1.78E-05
0.166,1.20972,0.166,0.000681163,0.166,0.000428595,0.166,3.28E-05
0.168,1.22627,0.168,0.00069215,0.168,0.000438336,0.168,4.25E-05
0.17,1.24287,0.17,0.000700939,0.17,0.000452947,0.17,4.77E-05
0.172,1.25952,0.172,0.000709728,0.172,0.000462688,0.172,5.74E-05
0.174,1.27621,0.174,0.000718517,0.174,0.000472429,0.174,5.77E-05
0.176,1.29295,0.176,0.000736096,0.176,0.000496781,0.176,7.27E-05
0.178,1.30973,0.178,0.000755871,0.178,0.000526003,0.178,8.30E-05
0.18,1.32656,0.18,0.000766858,0.18,0.000540614,0.18,9.76E-05
0.182,1.34343,0.182,0.000775647,0.182,0.000555226,0.182,0.000102835
0.184,1.36034,0.184,0.000782239,0.184,0.000564966,0.184,0.000103151
0.186,1.37731,0.186,0.000791028,0.186,0.000579578,0.186,0.000117762
0.188,1.39431,0.188,0.000808606,0.188,0.00060393,0.188,0.00013269
0.19,1.41136,0.19,0.000832777,0.19,0.000628282,0.19,0.000147617
0.192,1.42846,0.192,0.000843763,0.192,0.000642893,0.192,0.000152803
0.194,1.4456,0.194,0.000852552,0.194,0.000652634,0.194,0.000162544
0.196,1.46278,0.196,0.000861342,0.196,0.000667245,0.196,0.000177155
0.198,1.48001,0.198,0.000870131,0.198,0.000676986,0.198,0.000177471
0.2,1.49729,0.2,0.000889907,0.2,0.000701338,0.2,0.000201823
0.202,1.5146,0.202,0.000914077,0.202,0.00072569,0.202,0.00021675
0.204,1.53196,0.204,0.000925063,0.204,0.00073543,0.204,0.000226491
0.206,1.54937,0.206,0.000933853,0.206,0.000745171,0.206,0.000236232
0.208,1.56682,0.208,0.000940444,0.208,0.000754912,0.208,0.000245973
0.21,1.58431,0.21,0.000949234,0.21,0.000764653,0.21,0.000246289
0.212,1.60185,0.212,0.000969009,0.212,0.000779264,0.212,0.0002609
0.214,1.61943,0.214,0.00099318,0.214,0.000803616,0.214,0.000275827
0.216,1.63705,0.216,0.00100417,0.216,0.000813357,0.216,0.000285568
